title,channel,published_date,trending_date,views,likes,comments
Mayang Mayang 2 | New Nagpuri Ho Song 2025 | Rimjhim & Abhishek | Dandom & Nirmala | Santosh Daswali,Aditya Birua,2025-12-25,2025-12-26,528228,23127,1147
Immortal - Teaser | GV Prakash | Kayadu Lohar | Sam CS | Mariyappan Chinna | Arunkumar Dhanasekaran,Think Music India,2025-12-24,2025-12-26,2741728,87067,1108
I Found a Secret Millionaire Villager City in Minecraft!,ProBoiz 95,2025-12-25,2025-12-26,1011452,30894,3622
"Hard Heigala Sanga l Untalented Guy, Piyush Tripathy & Sucharita l Kabir Prasad I HelpBoyTushar",BABU BHAI PRODUCTION,2025-12-25,2025-12-26,324150,37813,1460
SIGMA Teaser (Tamil) | Sundeep Kishan | Thaman S | Jason Sanjay | Subaskaran | Lyca Productions,Lyca Productions,2025-12-23,2025-12-26,3355677,94409,2259
How I Lost my BEST FRIEND in This Minecraft SMP,SenpaiExtras,2025-12-25,2025-12-26,656003,37385,3209
#Video | चुपचाप 🤫 किंगफ़िशर Vs ब्लेंडर छाप | #Ashish_Yadav का एक न्यू ईयर सांग | New Year Song 2026,Aashish Yadav Entertainment,2025-12-24,2025-12-26,786260,36098,1781
Thaai Kizhavi - Official Teaser | Radikaa Sarathkumar | Sivakumar Murugesan | Nivas K Prasanna,Saregama Tamil,2025-12-24,2025-12-26,699670,14122,576
Choo Choo Charles Monster Train with Ajay Khutail #shortslive #horrorgaming,Ajay Khutail,2025-12-26,2025-12-26,1338516,7468,1
#Video | ढोढ़ी के नीचे गोदनमा गे | #Rajeev Yadav | Dhodhi Ke Niche Godanma Ge | New Maghi Song 2026,Pawan Shakti Records,2025-12-24,2025-12-26,343338,10076,593
